"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",333,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOf10000To14999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",256,"Households With an Income Between $10,000 and $14,999"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOf20000To24999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",412,"Households With an Income Between $20,000 and $24,999"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOf40000To44999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",369,"Households With an Income Between $40,000 and $44,999"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOf50000To59999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",844,"Households With an Income Between $50,000 and $59,999"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOf60000To74999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1164,"Households With an Income Between $60,000 and $74,999"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOf75000To99999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1954,"Households With an Income Between $75,000 and $99,999"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOf100000To124999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1701,"Households With an Income Between $100,000 and $124,999"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOf125000To149999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",948,"Households With an Income Between $125,000 and $149,999"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOf150000To199999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1620,"Households With an Income Between $150,000 and $199,999"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOf200000OrMoreUSDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1902,"Households With an Income of $200,000 or More"
"geoId/06001","","Alameda County","Count_Household_IncomeOfUpto10000USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",23324,"Households With an Income of $10,000 or Less"
"geoId/06001","","Alameda County","Count_Household_IncomeOf10000To14999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",16279,"Households With an Income Between $10,000 and $14,999"
"geoId/06001","","Alameda County","Count_Household_IncomeOf20000To24999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",13345,"Households With an Income Between $20,000 and $24,999"
"geoId/06001","","Alameda County","Count_Household_IncomeOf40000To44999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",11216,"Households With an Income Between $40,000 and $44,999"
"geoId/06001","","Alameda County","Count_Household_IncomeOf50000To59999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",24114,"Households With an Income Between $50,000 and $59,999"
"geoId/06001","","Alameda County","Count_Household_IncomeOf60000To74999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",37041,"Households With an Income Between $60,000 and $74,999"
"geoId/06001","","Alameda County","Count_Household_IncomeOf75000To99999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",58556,"Households With an Income Between $75,000 and $99,999"
"geoId/06001","","Alameda County","Count_Household_IncomeOf100000To124999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",51722,"Households With an Income Between $100,000 and $124,999"
"geoId/06001","","Alameda County","Count_Household_IncomeOf125000To149999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",44559,"Households With an Income Between $125,000 and $149,999"
"geoId/06001","","Alameda County","Count_Household_IncomeOf150000To199999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",74078,"Households With an Income Between $150,000 and $199,999"
"geoId/06001","","Alameda County","Count_Household_IncomeOf200000OrMoreUSDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",169588,"Households With an Income of $200,000 or More"
"geoId/12057","","Hillsborough County","Count_Household_IncomeOfUpto10000USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",30499,"Households With an Income of $10,000 or Less"
"geoId/12057","","Hillsborough County","Count_Household_IncomeOf10000To14999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",19450,"Households With an Income Between $10,000 and $14,999"
"geoId/12057","","Hillsborough County","Count_Household_IncomeOf20000To24999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",20419,"Households With an Income Between $20,000 and $24,999"
"geoId/12057","","Hillsborough County","Count_Household_IncomeOf40000To44999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",22020,"Households With an Income Between $40,000 and $44,999"
"geoId/12057","","Hillsborough County","Count_Household_IncomeOf50000To59999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",40187,"Households With an Income Between $50,000 and $59,999"
"geoId/12057","","Hillsborough County","Count_Household_IncomeOf60000To74999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",54256,"Households With an Income Between $60,000 and $74,999"
"geoId/12057","","Hillsborough County","Count_Household_IncomeOf75000To99999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",72301,"Households With an Income Between $75,000 and $99,999"
"geoId/12057","","Hillsborough County","Count_Household_IncomeOf100000To124999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",54667,"Households With an Income Between $100,000 and $124,999"
"geoId/12057","","Hillsborough County","Count_Household_IncomeOf125000To149999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",36554,"Households With an Income Between $125,000 and $149,999"
"geoId/12057","","Hillsborough County","Count_Household_IncomeOf150000To199999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",45438,"Households With an Income Between $150,000 and $199,999"
"geoId/12057","","Hillsborough County","Count_Household_IncomeOf200000OrMoreUSDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",57202,"Households With an Income of $200,000 or More"
"geoId/12086","","Miami-Dade County","Count_Household_IncomeOfUpto10000USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",56641,"Households With an Income of $10,000 or Less"
"geoId/12086","","Miami-Dade County","Count_Household_IncomeOf10000To14999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",51746,"Households With an Income Between $10,000 and $14,999"
"geoId/12086","","Miami-Dade County","Count_Household_IncomeOf20000To24999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",44725,"Households With an Income Between $20,000 and $24,999"
"geoId/12086","","Miami-Dade County","Count_Household_IncomeOf40000To44999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",34060,"Households With an Income Between $40,000 and $44,999"
"geoId/12086","","Miami-Dade County","Count_Household_IncomeOf50000To59999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",68519,"Households With an Income Between $50,000 and $59,999"
"geoId/12086","","Miami-Dade County","Count_Household_IncomeOf60000To74999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",88292,"Households With an Income Between $60,000 and $74,999"
"geoId/12086","","Miami-Dade County","Count_Household_IncomeOf75000To99999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",119223,"Households With an Income Between $75,000 and $99,999"
"geoId/12086","","Miami-Dade County","Count_Household_IncomeOf100000To124999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",81639,"Households With an Income Between $100,000 and $124,999"
"geoId/12086","","Miami-Dade County","Count_Household_IncomeOf125000To149999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",55366,"Households With an Income Between $125,000 and $149,999"
"geoId/12086","","Miami-Dade County","Count_Household_IncomeOf150000To199999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",68252,"Households With an Income Between $150,000 and $199,999"
"geoId/12086","","Miami-Dade County","Count_Household_IncomeOf200000OrMoreUSDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",89389,"Households With an Income of $200,000 or More"
"geoId/39035","","Cuyahoga County","Count_Household_IncomeOfUpto10000USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",39439,"Households With an Income of $10,000 or Less"
"geoId/39035","","Cuyahoga County","Count_Household_IncomeOf10000To14999USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",31017,"Households With an Income Between $10,000 and $14,999"
