"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",28831,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",29265,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",29177,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",29331,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",29278,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",29194,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",28856,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",28738,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",28777,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",28719,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",28710,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenBornInTheUnitedStates","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",28940,"US Citizens Born in the United States"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenByNaturalization","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1262,"US Citizens by Naturalization"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenByNaturalization","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1146,"US Citizens by Naturalization"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenByNaturalization","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1264,"US Citizens by Naturalization"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenByNaturalization","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1337,"US Citizens by Naturalization"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenByNaturalization","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1498,"US Citizens by Naturalization"
"geoId/02110","","Juneau City and Borough","Count_Person_USCitizenByNaturalization","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1427,"US Citizens by Naturalization"
