"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_NitrousOxide_NonBiogenic","2011","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",132.61,"Annual Emissions of Non Biogenic Nitrous Oxide"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_NitrousOxide_NonBiogenic","2012","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",88.437162,"Annual Emissions of Non Biogenic Nitrous Oxide"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_NitrousOxide_NonBiogenic","2013","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",143.636,"Annual Emissions of Non Biogenic Nitrous Oxide"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_NitrousOxide_NonBiogenic","2014","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",89.102,"Annual Emissions of Non Biogenic Nitrous Oxide"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_NitrousOxide_NonBiogenic","2015","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",94.466,"Annual Emissions of Non Biogenic Nitrous Oxide"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_NitrousOxide_NonBiogenic","2016","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",99.532,"Annual Emissions of Non Biogenic Nitrous Oxide"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_NitrousOxide_NonBiogenic","2017","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",95.062,"Annual Emissions of Non Biogenic Nitrous Oxide"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_NitrousOxide_NonBiogenic","2018","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",91.784,"Annual Emissions of Non Biogenic Nitrous Oxide"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_NitrousOxide_NonBiogenic","2019","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",223.5,"Annual Emissions of Non Biogenic Nitrous Oxide"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_NitrousOxide_NonBiogenic","2020","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",144.828,"Annual Emissions of Non Biogenic Nitrous Oxide"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_NitrousOxide_NonBiogenic","2021","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",130.226,"Annual Emissions of Non Biogenic Nitrous Oxide"
