"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","Count_Person","1970","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",13556,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1971","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",14700,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1972","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",15200,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1973","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",15900,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1974","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",16600,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1975","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",17600,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1976","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",18600,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1977","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",19100,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1978","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",19400,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1979","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",19900,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1980","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",19528,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1981","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",20494,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1982","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",23155,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1983","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",24985,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1984","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",26206,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1985","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",27117,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1986","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",27685,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1987","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",26800,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1988","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",26064,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1989","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",26305,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1990","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",26752,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1991","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",27034,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1992","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",27879,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1993","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",28320,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1994","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",28654,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1995","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",28704,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1996","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",29199,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1997","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",29912,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1998","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",30296,"Total Population"
"geoId/02110","","Juneau City and Borough","Count_Person","1999","USCensusPEP_Annual_Population","https://www2.census.gov/programs-surveys/popest/tables","","","",30143,"Total Population"
