"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-01","BLS_LAUS","https://www.bls.gov/lau/","","","",14250,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-02","BLS_LAUS","https://www.bls.gov/lau/","","","",14243,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-03","BLS_LAUS","https://www.bls.gov/lau/","","","",14488,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-04","BLS_LAUS","https://www.bls.gov/lau/","","","",14866,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-05","BLS_LAUS","https://www.bls.gov/lau/","","","",15194,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-06","BLS_LAUS","https://www.bls.gov/lau/","","","",15659,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-07","BLS_LAUS","https://www.bls.gov/lau/","","","",16398,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-08","BLS_LAUS","https://www.bls.gov/lau/","","","",16563,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-09","BLS_LAUS","https://www.bls.gov/lau/","","","",16126,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-10","BLS_LAUS","https://www.bls.gov/lau/","","","",15173,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-11","BLS_LAUS","https://www.bls.gov/lau/","","","",14917,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1990-12","BLS_LAUS","https://www.bls.gov/lau/","","","",14538,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-01","BLS_LAUS","https://www.bls.gov/lau/","","","",14286,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-02","BLS_LAUS","https://www.bls.gov/lau/","","","",14447,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-03","BLS_LAUS","https://www.bls.gov/lau/","","","",14688,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-04","BLS_LAUS","https://www.bls.gov/lau/","","","",15032,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-05","BLS_LAUS","https://www.bls.gov/lau/","","","",15461,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-06","BLS_LAUS","https://www.bls.gov/lau/","","","",15712,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-07","BLS_LAUS","https://www.bls.gov/lau/","","","",16566,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-08","BLS_LAUS","https://www.bls.gov/lau/","","","",16778,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-09","BLS_LAUS","https://www.bls.gov/lau/","","","",16505,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-10","BLS_LAUS","https://www.bls.gov/lau/","","","",15414,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-11","BLS_LAUS","https://www.bls.gov/lau/","","","",15060,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1991-12","BLS_LAUS","https://www.bls.gov/lau/","","","",14882,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-01","BLS_LAUS","https://www.bls.gov/lau/","","","",14699,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-02","BLS_LAUS","https://www.bls.gov/lau/","","","",14627,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-03","BLS_LAUS","https://www.bls.gov/lau/","","","",14976,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-04","BLS_LAUS","https://www.bls.gov/lau/","","","",15342,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-05","BLS_LAUS","https://www.bls.gov/lau/","","","",16016,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-06","BLS_LAUS","https://www.bls.gov/lau/","","","",16459,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-07","BLS_LAUS","https://www.bls.gov/lau/","","","",17425,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-08","BLS_LAUS","https://www.bls.gov/lau/","","","",17631,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-09","BLS_LAUS","https://www.bls.gov/lau/","","","",17249,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-10","BLS_LAUS","https://www.bls.gov/lau/","","","",16395,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-11","BLS_LAUS","https://www.bls.gov/lau/","","","",16046,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1992-12","BLS_LAUS","https://www.bls.gov/lau/","","","",15835,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-01","BLS_LAUS","https://www.bls.gov/lau/","","","",14895,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-02","BLS_LAUS","https://www.bls.gov/lau/","","","",15039,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-03","BLS_LAUS","https://www.bls.gov/lau/","","","",15421,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-04","BLS_LAUS","https://www.bls.gov/lau/","","","",15634,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-05","BLS_LAUS","https://www.bls.gov/lau/","","","",16117,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-06","BLS_LAUS","https://www.bls.gov/lau/","","","",16808,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-07","BLS_LAUS","https://www.bls.gov/lau/","","","",17522,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-08","BLS_LAUS","https://www.bls.gov/lau/","","","",17592,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-09","BLS_LAUS","https://www.bls.gov/lau/","","","",17296,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-10","BLS_LAUS","https://www.bls.gov/lau/","","","",16517,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-11","BLS_LAUS","https://www.bls.gov/lau/","","","",15684,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1993-12","BLS_LAUS","https://www.bls.gov/lau/","","","",15343,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1994-01","BLS_LAUS","https://www.bls.gov/lau/","","","",15030,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1994-02","BLS_LAUS","https://www.bls.gov/lau/","","","",15028,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1994-03","BLS_LAUS","https://www.bls.gov/lau/","","","",15236,"Population in the Labor Force"
"geoId/02110","","Juneau City and Borough","Count_Person_InLaborForce","1994-04","BLS_LAUS","https://www.bls.gov/lau/","","","",15666,"Population in the Labor Force"
