"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-01","BLS_LAUS","https://www.bls.gov/lau/","","","",6.1,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-02","BLS_LAUS","https://www.bls.gov/lau/","","","",6.4,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-03","BLS_LAUS","https://www.bls.gov/lau/","","","",5.5,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-04","BLS_LAUS","https://www.bls.gov/lau/","","","",4.9,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-05","BLS_LAUS","https://www.bls.gov/lau/","","","",4.1,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-06","BLS_LAUS","https://www.bls.gov/lau/","","","",4.6,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-07","BLS_LAUS","https://www.bls.gov/lau/","","","",4.6,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-08","BLS_LAUS","https://www.bls.gov/lau/","","","",4.8,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-09","BLS_LAUS","https://www.bls.gov/lau/","","","",4.9,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-10","BLS_LAUS","https://www.bls.gov/lau/","","","",5.6,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-11","BLS_LAUS","https://www.bls.gov/lau/","","","",5.9,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1990-12","BLS_LAUS","https://www.bls.gov/lau/","","","",6.3,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1991-01","BLS_LAUS","https://www.bls.gov/lau/","","","",7.2,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1991-02","BLS_LAUS","https://www.bls.gov/lau/","","","",7.7,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1991-03","BLS_LAUS","https://www.bls.gov/lau/","","","",7.1,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1991-04","BLS_LAUS","https://www.bls.gov/lau/","","","",5.6,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1991-05","BLS_LAUS","https://www.bls.gov/lau/","","","",4.8,"Unemployment Rate of a Population"
"geoId/02110","","Juneau City and Borough","UnemploymentRate_Person","1991-06","BLS_LAUS","https://www.bls.gov/lau/","","","",5.2,"Unemployment Rate of a Population"
