"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",352,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",371,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",389,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",403,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",390,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",359,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",370,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",395,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",403,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",437,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",470,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOfUpto10000USDollar","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",333,"Households With an Income of $10,000 or Less"
"geoId/02110","","Juneau City and Borough","Count_Household_IncomeOf10000To14999USDollar","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",256,"Households With an Income Between $10,000 and $14,999"
