"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_GreenhouseGas_NonBiogenic","2011","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",71727.76,"Annual Emissions of Non Biogenic Greenhouse Gases"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_GreenhouseGas_NonBiogenic","2012","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",113587.490321,"Annual Emissions of Non Biogenic Greenhouse Gases"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_GreenhouseGas_NonBiogenic","2013","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",95652.886,"Annual Emissions of Non Biogenic Greenhouse Gases"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_GreenhouseGas_NonBiogenic","2014","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",76765.202,"Annual Emissions of Non Biogenic Greenhouse Gases"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_GreenhouseGas_NonBiogenic","2015","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",51892.616,"Annual Emissions of Non Biogenic Greenhouse Gases"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_GreenhouseGas_NonBiogenic","2016","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",56959.982,"Annual Emissions of Non Biogenic Greenhouse Gases"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_GreenhouseGas_NonBiogenic","2017","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",49644.262,"Annual Emissions of Non Biogenic Greenhouse Gases"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_GreenhouseGas_NonBiogenic","2018","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",49236.734,"Annual Emissions of Non Biogenic Greenhouse Gases"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_GreenhouseGas_NonBiogenic","2019","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",104822.6,"Annual Emissions of Non Biogenic Greenhouse Gases"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_GreenhouseGas_NonBiogenic","2020","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",66946.878,"Annual Emissions of Non Biogenic Greenhouse Gases"
"geoId/02110","","Juneau City and Borough","Annual_Emissions_GreenhouseGas_NonBiogenic","2021","EPA_GHGRP_AggCounty","https://www.epa.gov/ghgreporting","","MetricTonCO2e","tCO2e",66422.676,"Annual Emissions of Non Biogenic Greenhouse Gases"
