"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2011","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1946,"Population Below Poverty Level Status in Past Year"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2012","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1996,"Population Below Poverty Level Status in Past Year"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2013","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",1931,"Population Below Poverty Level Status in Past Year"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2014","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2033,"Population Below Poverty Level Status in Past Year"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2015","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2110,"Population Below Poverty Level Status in Past Year"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2016","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2365,"Population Below Poverty Level Status in Past Year"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2017","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2339,"Population Below Poverty Level Status in Past Year"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2018","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2514,"Population Below Poverty Level Status in Past Year"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2019","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2440,"Population Below Poverty Level Status in Past Year"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2020","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2197,"Population Below Poverty Level Status in Past Year"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2021","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2293,"Population Below Poverty Level Status in Past Year"
"geoId/02110","","Juneau City and Borough","Count_Person_BelowPovertyLevelInThePast12Months","2022","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","","",2176,"Population Below Poverty Level Status in Past Year"
